3.8181,-5.5746,-2.2194,0.09473,0.75839,1.7756,-2.7108,5.0558,-2.5029,1.5456
-2.9582,3.4692,-3.5851,-2.4116,5.0044,-1.7478,3.281,2.6278,0.96241,-0.172
-4.8851,2.8361,-3.8695,-3.1409,1.2222,-0.33192,-0.49555,1.5343,-1.2773,0.64338
-3.896,-0.097786,1.8481,0.81222,0.98153,2.5838,-4.2607,0.22119,1.0812,3.5282
7.8191,4.7546,0.41901,1.9379,-1.8807,0.10691,1.2164,-0.16429,-0.37319,1.2866
-3.6804,1.8781,-2.1049,6.08,-0.68627,-3.5009,-2.1364,2.3454,-2.4779,-1.3219
2.8963,2.8229,0.6493,1.7912,-4.0302,-2.3101,1.4309,-0.46964,-0.94628,1.1265
8.1576,6.4217,-1.6606,-4.7452,-0.38732,1.3244,-1.4321,-0.38907,1.4844,-2.4288
5.7861,2.2852,-4.5921,-3.9771,0.41107,0.46467,1.6515,-1.4783,-1.2655,-0.65468
-13.932,7.031,0.23348,-8.9857,5.8568,1.5337,2.4412,-3.5572,-0.86577,0.95625
-1.9243,1.7658,-1.8644,2.8687,-1.4143,0.69557,-2.5099,1.8304,-2.1711,-0.95502
-5.3765,-0.76198,1.1905,-0.14114,2.7083,-0.3832,1.4066,1.4117,2.2641,-1.2262
-3.8617,2.4504,3.0473,1.0874,-1.3862,0.82557,0.75713,2.6238,2.641,-1.125
-7.3117,1.3292,2.9341,0.29137,-4.8264,-0.24939,0.43477,-2.3755,0.70593,-0.62394
-2.8979,1.8338,1.9106,1.2727,0.34895,-2.3834,0.22814,2.9132,3.7005,2.9011
-1.8959,1.9603,-2.7548,-1.8387,-0.78347,-1.0965,1.7365,1.1542,-0.83409,0.4366
4.4252,1.9184,1.6497,0.48979,0.23068,-0.80531,0.53118,-0.55918,-1.0041,0.23545
-2.1391,-0.6939,-2.4576,3.3793,2.9498,0.6626,2.9729,-0.9027,1.2041,1.4671
-4.4715,-7.3439,-0.71319,-0.54518,1.3378,-3.6496,-1.5005,-1.0352,-1.5899,-1.5042
7.1503,2.3613,-4.4542,-2.9833,1.3329,0.33926,2.2197,-1.0752,-1.0452,-0.76318
7.9923,-0.73857,-5.1149,-4.0828,1.7808,-0.45913,2.1984,-0.8213,0.83627,-0.67024
1.793,1.3203,1.2093,0.62289,-0.44318,0.12014,-0.25008,-1.4206,-0.72976,0.72507
4.5858,3.4356,0.92319,2.6382,-4.3518,-3.3782,2.0303,0.068298,0.48178,-0.76046
-5.9119,2.1667,2.1859,2.3603,2.2978,-0.90345,-0.66528,-1.944,-0.44757,-2.0498
3.4246,-1.3971,-2.6704,-1.7495,4.2075,2.9455,3.7664,-1.6057,2.4417,-3.0098
-4.0157,1.4976,-0.38803,7.7499,3.5849,4.085,-0.94201,0.41132,-2.1929,1.7264
-10.121,-5.0975,3.1379,-0.044346,-2.1109,4.5028,1.632,-3.7203,2.0139,0.0012351
-11.852,-5.8125,5.4746,-3.3262,-0.52827,2.3538,-2.2186,-0.36343,-3.4782,2.5005
-5.245,1.2258,1.7902,0.7819,-0.11785,1.9296,0.38279,-1.8963,-2.1183,0.82466
2.7183,1.9874,0.69401,1.4698,0.23266,0.99427,-1.1843,0.50867,0.61414,-0.42973
